artist	category	genre	title	tracks	year	id	merged_values
The Trotter Triojazz	Jazz	Jazz	A Funny Thing Happened On The Way To The Forum...Injazz	1913		100937	
Various	Jazz	Jazz	Gitanes Jazz, Contrebasse	1914	1993	100938	
United States Army Field Band Jazz Ambassadors	Jazz	Big Band	The Legacy Of Stan Kenton	1915		100939	
United Future Organization	Jazz	Jazz	No Sound Is Too Taboo	1916	1994	100940	
Lisa Ekdahl	Jazz	Jazz	Back To Earth	1917	1998	100941	
Warren Hill	Jazz	Jazz	Truth	1918	1994	100942	
Various	Jazz	Funk	Strange Games And Funky Things 3 Cd3	1919		100943	
Clare Foster	Jazz	Jazz	Cleare Foster Sings Wayne Shorter	1920		100944	
Sonny Stitt	Jazz	Jazz	Jazz At The Hi-hat	1921	1957	100945	
Bobby Matos	Jazz	Jazz	Sessions	1922	2007	100946	
Fraser Macpherson Quintet	Jazz	Jazz	In The Tradition	1923	2007	100947	
Mole	Jazz	Acid Jazz	Breaking The Ice Vol.3	1924		100948	
Mark Kross Five-piece Trio	Jazz	Jazz	As You Like	1925	1997	100949	
Dinah Washington	Jazz	Oldies	Complete On Mercury Vol. 7 (disc 1)	1926	1961	100950	
The`orb	Jazz	Ambient	Uf Off - The Best Of	1927	1998	100951	
Preservation Hall Jazz Band	Jazz	Jazz	Sweet Emma	1928	2007	100952	
Joe Carroll	Jazz	Jazz	Man With A Happy Sound	1929	1962	100953	
Skitzo	Jazz	Metal	Babblesick	1930	2003	100954	
Count Basie	Jazz	Big Band	The Essence Of Count Basie	1931	1991	100955	
Trad. Jazz Praise	Jazz	Jazz	Be Bold	1932		100956	
Curtis Mayfield	Jazz	Soundtrack	Super Fly Disc 2	1933	1972	100957	
Carol Kidd	Jazz	Jazz	I'm Glad We Met	1934		100958	
Lori-anne Jackson	Jazz	Jazz	North	1935		100959	
Benny Goodman	Jazz	Jazz	Benny Goodman	1936	1990	100960	
Henry Butler	Jazz	Blues	Orleans Inspiration	1937	1990	100961	
Various	Jazz	Mainstream	Blue Note Swingtets	1938	1945	100962	
Doc Cheatham	Jazz	Jazz	You're A Sweetheart	1939	1992	100963	
Various	Jazz	Jazz	Kwjz Smooth Jazz Volume 5	1940		100964	
Jimmy Mcgriff	Jazz	Jazz	The Jazz Collector Edition - Jimmy Mcgriff	1941	1962	100965	
Shakatak	Jazz	New Age	View From The City	1942	1999	100967	
Various	Jazz	Jazz	Savoy Jazz Sampler	1943	1995	100968	
Max Bennett And The Maxx Band	Jazz	Jazz	Great Expectations	1944		100969	
Jã¸rgen Vestergaard	Jazz	Jazz	Jazzanova	1945	1996	100970	
Dag Arnesen	Jazz	Jazz	Photographs	1946		100971	
Mariana De Morais	Jazz	Jazz	Se E Pecado Sambar	1947	2000	100972	
Marlena Shaw	Jazz	Jazz	The Best Of Marlena Shaw	1948	1976	100973	
Â¥ã‰â¸mâ¯eâ¤g (koji Tamaki)	Jazz	Pop	Â°sâ¬ãµâ¦ã¢âªâºâ¤ãÿ	1949	1999	100974	
Stan Getz	Jazz	Jazz	Compact Jazz	1950	1987	100975	
Art Hodes	Jazz	Jazz	Up In Volley's Room	1951	1992	100977	
Toninho Horta	Jazz	Jazz	Serenade	1952	1989	100978	
Tim Cummiskey Trio	Jazz	Jazz	Alone Together	1953	2000	100979	
Back To Earth	Jazz	Jazz	Back To Earth	1954	2000	100980	
Brecker Brothers	Jazz	Jazz	Return Of The Brecker Brothers	1955	1992	100981	
Various	Jazz	Jazz	Latin Real Book Sampler Cd	1956		100982	
Dave Mckenna, Joe Temperley	Jazz	Jazz - Swing	Sunbeam And Thundercloud	1957	1996	100983	
Joshua	Jazz	Jazz	Piercing The Darkness	1958	1997	100984	
Aebersold, Jamey	Jazz	Jazz	Volume 56 - Thelonius Monk	1959		100985	
Paul Bley-evan Parker-barre Phillips	Jazz	Jazz	Time Will Tell	1960	1995	100986	
Metallica	Jazz	Metal	Minneapolis - Disc 2	1961	2000	100987	
Gary Burton	Jazz	Tango	Libertango	1962	2000	100988	
Various	Jazz	Jazz	How Low Can You Go ?	1963		100989	
Erykah Badu	Jazz	Jazz+funk	Baduizm Live	1964	1997	100990	
Bill Evans	Jazz	Jazz	Waltz For Debby	1965	1956	100991	
George Cartwright	Jazz	Alternative	The Memphis Years	1966	2000	100992	
Lou Donaldson	Jazz	Jazz	The Blue Note Years	1967	1967	100993	
John Arpin	Jazz	Jazz	Blue Gardenia: The Latin-american Music Of Hal Isbitz	1968	1998	100994	
Various Artists	Jazz	Jazz	Italian Juice	1969		100995	
Various	Jazz	Acid Jazz	Jazz In The House 3 (cd1)	1970	1996	100996	
Rex Allen	Jazz	Jazz	Keep Swingin'	1971	2011	100997	
Boris Vian	Jazz	Chanson	Chansons Possibles Ou Impossibles	1972	1968	100998	
Oscar Santana	Jazz	Blues	Dedicado A Julio Jaramillo	1973	1998	100999	
Various	Jazz	Jazz	Swing Time (of The 30s)	1974		101000	
Charlie Byrd	Jazz	Jazz	Brazilian Byrd	1975	1965	101001	
Jimmy Rushing	Jazz	Jazz	Rushing Lullabies	1976	1992	101003	
Denis Solee With The Beegie Adai Trio	Jazz	Swing	Sax & Swing	1977	2021	101004	
Cherry Poppin' Daddies	Jazz	Ska	Soul Caddy	1978	2000	101005	
Bidville	Jazz	Jazz	Le Jazz Et La Java	1979		101006	
In Flames	Jazz	Metal	Soundtrack To Your Escape	1980	2004	101007	
Bob Dorough Quartet	Jazz	Jazz	Oliver!	1981	2009	101009	
Dziuda Project	Jazz	Jazz	Jeden Â¶wiat (cd2)	1982	2003	101010	
Frank Sinatra	Jazz	Jazz	Frank Sinatra Conducts Tone Poems Of Color	1983	1957	101011	
Great Jazz Legends Cd 3	Jazz	Jazz	Great Jazz Legends Cd 3	1984		101012	
Liz Ilku, Harp And Vocals (with Warren Chiasson, Joe Vick, And Brian Brown)	Jazz	Jazz	Liz Ilku, Harp And Vocals (with Warren Chiasson, Joe Vick, And Swing Easy	1985	2001	101013	
Jean-paul Celea,david Liebman,wolfgang Reisinger	Jazz	Jazz	World View	1986	2002	101015	
Alex Alves	Jazz	Jazz	Verde	1987	2011	101016	
Daniel Mille	Jazz	Jazz	Entre Chien Et Loup	1988	2001	101017	
Magnolia Jazzband	Jazz	Jazz	Anytime	1989	1987	101019	
Smashing Pumpkins	Newage	Newage	Mellon Collie & The Infinite Sadness	1990	1995	10102	
Jean-luc Ponty	Jazz	Jazz	The Best Of Jean-luc Ponty	1991	2002	101020	
Ã‹ãœã­ã´ã³ã©ã¡ã² Ã“ã´ã¡ã½ã±ã¯ã²	Jazz	Jazz	Ã…ã°ã©ã³ã´ã±ã¯ã¶ãž	1992	1999	101021	
Modern Jazz Trio	Jazz	Jazz	Blues In The Sky	1993	2002	101022	
Various	Jazz	Jazz	Piano: Jazz 'round Midnight	1994	1998	101023	
Nguyãªn Lãª	Jazz	Jazz	Zanzibar	1995		101024	
Sue Burkhart	Jazz	Jazz	Fonkee Monkee	1996		101025	
George Shearing	Jazz	Dixieland	In Dixieland	1997	1989	101026	
Cecil Taylor	Jazz	Jazz	In Florescence	1998	1957	101027	
Various Artists	Jazz	Jazz	Blue Note 55th Anniversary Disc	1999		101028	
Various	Jazz	Jazz	Jazziz: December 1997	2000		101029	
Various Artists	Jazz	Jazz	Modern Music Conversation #001	2001	1999	101030	
Sonny Morris And Ken Colyer Jazz Band	Jazz	New Orleans Jazz	A Tribute To The Original Crane River Jazz Band	2002	1996	101031	
Geraldine Hunt	Jazz	Jazz	Soultry,jazzy & Sexy	2003	1999	101032	
Milt Buckner	Jazz	Jazz	With Illinois Jacquet And Buddy Tate	2004	2014	101033	
Ray Brown	Jazz	Jazz	The Concord Jazz Heritage Series: Ray Brown	2005	1992	101034	
Kenny Drew	Jazz	Jazz	Talkin' & Walkin'	2006	1955	101035	
Paprika Soul	Jazz	Jazz+funk	Paprika Soul	2007	2000	101036	
Mark Little	Jazz	Jazz	Dream Walkin'	2008	2013	101037	
Charlie Haden Quartet West	Jazz	Classical	The Art Of The Song	2009	1999	101038	
Schoof, Manfred Quintet	Jazz	Jazz	Light Lines - Horizons	2010	1978	101039	
Marcos Valle	Jazz	Jazz	The Essential Marcos Valle	2011	1973	101040	
Lada Kerndl	Jazz	Jazz	Evergreens 2	2012	1999	101041	
Various	Jazz	Jazz	Memorable Easy Listening. Easy Listening	2013		101042	
Varios Artistas	Jazz	Soul	Soul	2014		101043	
John Mclaughlin	Jazz	Jazz	Time Remembered John Mclaughlin Plays Bill Evans	2015	1993	101044	
Diane Schuur	Jazz	Jazz	Diane Schuur & The Count Basie Orchestra	2016	1987	101045	
Sarah Vaughan	Jazz	Jazz	The Best Of Sarah Vaughan	2017	1993	101046	
My Backyard	Jazz	Jazz	Mose Allison	2018	2005	101047	
Venus Malone	Jazz	Soul	Pretty On The Inside	2019	2002	101048	
So Wing Hong	Jazz	Pop	Don't Worry	2020	2000	101049	
Frã©dã©ric Pocquet & Novelas Tres	Jazz	Jazz	Colore Brassens Vol 1	2021	2001	101050	
Erroll Garner	Jazz	Jazz	Contrasts	2022	1954	101051	
Mars Venus	Jazz	Dance	Zurka	2023		101052	
John Harle	Jazz	Jazz	The Shadow Of The Duke	2024		101053	
Galliano	Jazz	Jazz	A Joyful Noise Unto The Creator	2025	1992	101054	
Cotton Club Singer	Jazz	Jazz	Casino	2026		101055	
Jazz	Jazz	Jazz	A Loyal Tribute To His Majesty The King On The Illustrious Occasion On His 72nd Birthday	2027	2022	101056	
Michael Garson	Jazz	Jazz	Serendipity	2028	2021	101057	
Akimbo	Jazz	Jazz	On Top	2029	1998	101058	
Duke Ellington	Jazz	Jazz	The 1953 Pasadena Concert	2030	1951	101059	
Wayne Horvitz And Zony Mash	Jazz	Jazz	Upper Egypt	2031	2000	101060	
San Francisco Klezmer Experience	Jazz	Ethnic	Harbst	2032	2004	101061	
Jacek Kochan	Jazz	Jazz	Double Life Of A Chair	2033	2002	101062	
Dave And Don Grusin	Jazz	Jazz	Sticks And Stones	2034	1988	101063	
Various Artists	Jazz	Jazz	Jazz Greats	2035	2002	101064	
Emil Richards	Jazz	Jazz	Luntana	2036	1996	101065	
Natura	Jazz	Latin	Leza Viva	2037	2002	101066	
Pigpen	Jazz	Jazz	Live In Poland	2038		101067	
Klezroym	Jazz	Klezmer	Sconfini	2039	2003	101068	
John Hicks	Jazz	Jazz	Music In The Key Of Clark	2040	2002	101069	
Skunk Anansie	Newage	Alternative	Post Orgasmic Chill	2041	1999	10107	
Harry Connick, Jr.	Jazz	Jazz	Lofty's Roach Souffle	2042	1990	101070	
Louie Bellson's Big Band Explosion	Jazz	Big Band	The Art Of The Chart	2043	1998	101071	
Nyjo	Jazz	Big Band	Remembrance	2044	1991	101072	
Side Street Strutters Jazz Band	Jazz	Jazz	Jumpin' Into Swing	2045		101073	
Malente	Jazz	Jazz	The Spirit Of Malente	2046	2011	101074	
Pee Wee Ellis	Jazz	Jazz	Ridin' Mighty High	2047	2000	101075	
Various Artists	Jazz	Easy Listening	Easy Tempo Experience - Third Dimension	2048		101076	
Roberto Perera	Jazz	Jazz	Sensual	2049	2002	101077	
Urubu	Jazz	Jazz	Freedom	2050	2023	101078	
John Mclaughlin	Jazz	Jazz	The Promise	2051	1995	101079	
New York Swing	Jazz	Swing	Live At The	2052		101080	
Bararbar Streisand	Jazz	Jazz	My Name Is Babra	2053		101081	
Various Artists	Jazz	Jazz	Big Band Boogie	2054	1902	101082	
Various	Jazz	Jazz	Sounds Of The Big Bands, Volume 2	2055		101083	
Deep River Quartet	Jazz	Jazz	Hark The Herald Angels Sing	2056	1999	101084	
Fats Waller	Jazz	Jazz	Greatest Hits [rca]	2057	1996	101087	
Geri Allen Trio	Jazz	Jazz	Twylight	2058	2017	101088	
Mae Moore	Jazz	Jazz	It's A Funny World	2059	2002	101089	
Gerry Mulligan	Jazz	Jazz	Re-birth Of The Cool	2060	1992	101090	
Renã© Sopa	Jazz	Jazz	Sandunga	2061		101091	
Variety Of Jazz Artists	Jazz	Jazz	The Very Best Of The Jazz Giants - Disc 3	2062		101092	
Judith Durham	Jazz	Jazz	Always There	2063	2022	101093	
Fred Lonberg-holm	Jazz	Jazz	Site-specific: Duets For Cello And Guitar	2064		101094	
Andre Previn	Jazz	Easy Listening	Ballads	2065	1996	101095	
Boz Scaggs	Jazz	Jazz	Dig	2066	2006	101096	
Various Artists	Jazz	Jazz	Original Cigar & Cocktail Blue	2067		101097	
Dj Crush And Toshinori Kondo	Jazz	Jazz	Ki-oku	2068		101098	
Jacques Loussier Trio	Jazz	Jazz - 3rd Stream	Antonio Vivaldi - The Four Seasons - New Jazz Arrangements	2069	1997	101099	
Michael Franks	Jazz	Jazz	Dragonfly Summer	2070	1993	101100	
Ã¦?â¾ã¥â±â€¦ã¦â€¦â¶ã¥â­?	Jazz	Jazz	Ã¦å’â€¡ã§â€™â°ã£â‚¬å“yubiwaã£â‚¬å“	2071	2002	101101	
Sprinkhuizen Fennis & Didderen	Jazz	Jazz	Hip, Hip	2072	2002	101102	
Variousalek)	Jazz	Lo-fi	Godiva & Joy The Music (music Selected By Benjamin Bialek)	2073	2003	101103	
Joe Henry	Jazz	Jazz	Scar	2074	2001	101104	
Paul Simon	Jazz	Jazz	Concert In The Park (cd2)	2075	1991	101105	
Various Artists	Jazz	Jazz	Euro Jazz 2002	2076	2002	101106	
Various Artists	Jazz	Jazz	The Best Of The 1997 Ct Jazz Festival	2077	1998	101107	
John Scofield	Jazz	Jazz	A Go Go	2078	1998	101108	
Chuck Loeb	Jazz	Jazz	Memory Lane	2079	1996	101109	
Ted Rosenthal	Jazz	Jazz	Rosenthology	2080	2014	101110	
George Benson	Jazz	Jazz	Jazz Masters 21	2081	1968	101111	
Music Spoken Here	Jazz	Jazz	Jazzpolice	2082	1996	101112	
David Doruzka	Jazz	Jazz	Hidden Paths	2083	2004	101113	
Michael Brecker	Jazz	Jazz	Nearness Of You(the Ballad Book)	2084	2001	101114	
Amon Tobin	Jazz	Hip Hop	Supermodified	2085	2000	101115	
Jim Self And Friends	Jazz	Jazz	New Stuff	2086		101116	
Many	Jazz	Jazz	Jazz Sampler	2087		101117	
Jarek Smietana	Jazz	Jazz	Extra Cream	2088	2010	101118	
Emilie Claire Barlow	Jazz	Jazz	Happy Feet	2089	2003	101119	
Sampler	Jazz	Ambient	The Soundtrack Vol 1	2090		101120	
Dizzy Gillespie	Jazz	Jazz	Verve Jazz Masters 10	2091	1993	101121	
Hubert Laws	Jazz	Jazz	The Best Of Hubert Laws	2092	2002	101122	
John Coltrane	Jazz	Jazz	Prestige Recordings #4	2093	2021	101123	
Jerry Bergonzi	Jazz	Jazz	Inside Improvisation Vol.2 Pentatonics	2094	1997	101124	
Kim Paterson	Jazz	Jazz	Impending Journey	2095	2012	101125	
Now Jazz(va)	Jazz	Jazz	Now Jazz 4	2096	1997	101126	
St Christophers Jazz Band	Jazz	Jazz	Gee Gosh Baby	2097		101127	
Billie Holiday	Jazz	Jazz	Lady's Decca Days Volume Two	2098	1958	101128	
Erroll Garner	Jazz	Jazz	Yesterdays	2099	1998	101129	
Squirrel Nut Zippers	Jazz	Swing	Perennial Favorites	2100	1998	101130	
Irene Kral	Jazz	Jazz	Lady Of Lavender	2101	1998	101131	
The Klucevsek + Bern Unit	Jazz	Jazz	Live @ The Kitchen, Nyc	2102		101132	
Gal Costa	Jazz	Rock	Galbossatropical	2103	2002	101133	
Various Artists	Jazz	Jazz	Cool Jazz	2104	2001	101134	
Didier Lockwood	Jazz	Jazz	Onztet De Violon Jazz	2105		101135	
Hiroshima	Jazz	Jazz	Between Black &white	2106	1999	101136	
Charlie Parker	Jazz	Jazz	Groovin' High	2107	2002	101137	
Ahleuchatistas	Jazz	Jazz+funk	On The Culture Industry	2108	2004	101138	
Brian Hughes	Jazz	Jazz	Straight To You	2109	1995	101139	
Omar	Jazz	Acid Jazz	This Is Not A Love Song	2110	1997	101140	
Hendrik Meurkens & Nilson Matta	Jazz	Jazz	Encontros	2111		101141	
Elizabeth Carthew	Jazz	Jazz	Elizabeth Carthew Ec001	2112	Piano	101142	
Samla Mammas Manna	Jazz	Jazz	Maltid	2113	1970	101143	
Various	Jazz	Jazz	The Cool School Of Jazz	2114		101144	
Various Artists	Jazz	Jazz	The Colors Of Latin Jazz - A Latin Vibe!	2115		101146	
Isley Meets Bacharach	Jazz	Soul	Here I Am	2116	2003	101147	
Eddie Katindig	Jazz	Jazz	Best Of Eddie K.	2117	1990	101148	
Oscar Peterson	Jazz	Jazz	Live At Salle Pleyel Cd 2	2118	2002	101149	
Scott Fields Quintet	Jazz	Jazz	Running With Scissors	2119	1993	101150	
Stefano Di Battista	Jazz	Jazz	Stefano Di Battista	2120	2000	101151	
Diana Krall	Jazz	Easy Listening	The Look Of Love	2121	2001	101153	
Hara Tomonao	Jazz	Jazz	Tonycally	2122	2003	101154	
Woody Herman	Jazz	Jazz	1963 Summer Tour	2123	2020	101155	
Chris Barber Jazz And Blues Band- Live 1998	Jazz	Jazz	Cornbread, Peas And Black Malasses - Live 1998	2124	1998	101156	
Sonny Clark	Jazz	Jazz	Sonny Clark Trio (+4)	2125	1960	101157	
Various	Jazz	Jazz	Trumpet Summit	2126		101158	
Thelonious Monk	Jazz	Jazz	Monk: The Columbia Years (1962-1968), Disc 1	2127	1962	101159	
Wes Montgomery	Jazz	Jazz	The Complete Riverside Recordings - Disc 11	2128	1992	101160	
Bruce Fowler & Phil Teele	Jazz	Jazz	Synthetic Division	2129	1994	101161	
Ornette Coleman	Jazz	Jazz	Beauty Is A Rare Thing [disc 3]	2130	1960	101162	
23 Skidoo	Jazz	Jazz+funk	23 Skidoo	2131	2000	101163	
Various Artists	Jazz	Jazz	Jazz Fusion, Volume 1	2132		101164	
Motã¶rhead	Jazz	Heavy Metal	Iron Fist	2133	1987	101165	
Miles Davis	Jazz	Jazz	Birth Of The Cool	2134	1949	101166	
Varios Artistas	Jazz	Blues	Musica De Navidad	2135	1998	101167	
Various	Jazz	Jazz	Bar Musik Vol. 2	2136	2005	101168	
Freequency	Jazz	Jazz	Free	2137		101169	
Clifford Brown	Jazz	Jazz	Memorial Album	2138	2001	101170	
Bud Powell	Jazz	Jazz	Bud In Paris	2139	1975	101171	
Sarah Jane Morris	Jazz	Jazz	Love Pain	2140	2003	101172	
Dollar Brand (abdulla Ibrahim)	Jazz	Jazz	Desert Flowers	2141		101173	
Ronnie Laws	Jazz	Jazz	Deep Soul	2142	1992	101174	
Szakcsi	Jazz	Jazz	Eve Of Chance	2143		101175	
Krzysztof Komeda	Jazz	Jazz	Volume Eleven	2144	2005	101176	
Zzaj	Jazz	Jazz	Epilog 1987 - 1993	2145	1993	101177	
Dean Peer	Jazz	Jazz	Think .... It's All Good	2146	2000	101178	
Branko Sukovez	Jazz	Jazz	Bolero	2147	2003	101179	
Ralph Sutton	Jazz	Jazz - Standards	Live At Maybeck Recital Hall, Vol. 30	2148	1993	101180	
Landgren, Nils	Jazz	Funk	Paint It Blue	2149	1996	101181	
Jason Rebello	Jazz	Jazz	Make It Real	2150		101182	
Varous Artist	Jazz	Jazz	Upstairs Recordings Vol 01	2151		101183	
Aa.Vv.	Jazz	Jazz	Cake & Milk Summers Of Love In Paris	2152	2002	101184	
Various	Jazz	Jazz	The Smooth Jazz Piano - Cd3	2153	2001	101185	
Phil Woods	Jazz	Jazz - Hard Bop	Here's To My Lady	2154	1988	101186	
Barney Wilen	Jazz	Jazz	Modern Nostalgie (starbust Forever)	2155	1991	101187	
Cannonball Adderley	Jazz	Jazz	Compact Jazz (compilation)	2156	1955	101188	
Magic Malik Orchestra	Jazz	Jazz	00-237 Xp-1	2157	2002	101189	
R.E.M.	Newage	Alternative	Fables Of The Reconstruction	2158	1986	10119	
Elvis Costello & Deborah Harry	Jazz	Jazz	Fire At Keaton's Bar And Grill	2159		101190	
Various Artists	Jazz	Jazz	The Most Relaxing Jazz Album In The Universe	2160	2003	101191	
Okay Temiz Magnetic Band	Jazz	Jazz/worldmusic	Magnet Orient	2161	2002	101192	
Metallica	Jazz	Metal	Recharged Anger Disc One	2162	1984	101193	
Lester Young	Jazz	Jazz	The Complete Lester Young Studio Sessions On Verve Cd 8	2163	1997	101194	
Ben Webster	Jazz	Jazz	The Soul Of Ben Webster (disc 2)	2164	1995	101195	
Paul Mauriat	Jazz	Instrumental Pop	Mamy Blue & The Godfather	2165	1971	101196	
Various	Jazz	Jazz	Status Presents Hollywood Lounge	2166		101197	
Earl Hines	Jazz	Jazz	Up To Date With Earl Hines	2167	1965	101198	
Tito Puente	Jazz	Jazz	Dance Mania (vol 1)	2168	1975	101199	
Coleman Hawkins	Jazz	Jazz	Picasso	2169	1993	101200	
Jazzman	Jazz	Jazz+funk	Whatiswrongwithgroovin'	2170	2001	101201	
Jan Krtitel	Jazz	Jazz	Pozvã¡nka Na Jazz	2171		101202	
Lachmann Norbert	Jazz	Jazz	Lachmann's Art Of Improvisation	2172		101203	
Ellis Larkins	Jazz	Jazz	In An Ellington Mood - Do Nothin' 'til You Hear From Me	2173	1992	101204	
The Jazztown Trio	Jazz	Easy Listening	Sax & Seduction Vol 2	2174	2000	101205	
Ella Fitzgerald	Jazz	Jazz	Private Collections	2175	1954	101206	
Â¹ãšãã¸â¿âµ 6ãã½[game]	Jazz	Jazz	Game	2176		101207	
Scott Williamson Jazz Quartet	Jazz	Jazz	Deck The Halls	2177	1998	101208	
Cyrus Chestnut	Jazz	Jazz	Earth Stories	2178	1996	101209	
Jeanne Lee & Ran Blake	Jazz	Jazz	The Legendary Duets	2179	1961	101210	
Duke Ellington	Jazz	Jazz	12 Classics	2180	2002	101211	
Susannah Mccorkle	Jazz	Jazz	No More Blues	2181	1989	101212	
Bara Vox	Jazz	Jazz	We're Going Up	2182		101213	
Antonio Carlos Jobim	Jazz	Jazz	Salena Jones. Jobim With The Jobim's	2183	1967	101214	
Ron Sunshine	Jazz	Jazz	Deluxe	2184	2003	101215	
Play A Long Nr 34	Jazz	Jazz	Jam Session	2185		101216	
Lonnie Plaxico	Jazz	Jazz	Plaxico	2186		101217	
Ella Fitzgerald And Louis Armstrong	Jazz	Jazz	Ella And Louis Again	2187	1957	101218	
Herbie Hancock	Jazz	Jazz	Dis Is Da Drum	2188	1994	101219	
Louis Armstrong	Jazz	Jazz	The Great Chicago Concert 1956 (disc 2)	2189	1997	101220	
Herbie Nichols Project	Jazz	Jazz	Dr. Cyclops' Dream	2190	1999	101221	
Ã¦?â¾ã¥â±â€¦ã¦â€¦â¶ã¥â­?	Jazz	Jazz	Ã£æ’â€¢ã£æ’â«ã£æ’â ã£æ’â¼ã£æ’â³ã£æ’â»ã£â€šâ¢ã£æ’â³ã£æ’â€°ã£æ’â»ã£â€šâ¶ã£æ’â»ã£â€šâ·ã£æ’â¥ã£æ’â©ã£â€šâ¤ã£æ’â³	2191	2002	101222	
Joe Zawinul	Jazz	Jazz	Dizionario Enciclopedico Del Jazz	2192	1991	101223	
Tom Kubis	Jazz	Jazz	At Last	2193	2009	101224	
Leipziger Saxophon Quartettassages	Jazz	Jazz	Plays Rolf Von Nordenskjã¶ld - Passages	2194		101225	
Various	Jazz	Jazz	Too Marvlous	2195	2004	101226	
Paul Desmond, Jim Hall	Jazz	Jazz - Bossa Nova	Bossa Antigua	2196	1964	101227	
Alan Broadbent Trio	Jazz	Jazz	Pacific Standard Time	2197	1995	101228	
Various Artists	Jazz	Jazz	Jazz Moods Cd 2	2198	2019	101229	
Incognito	Jazz	Acid Jazz	Positivity	2199	1993	101230	
The Duke Ellington Orchestra	Jazz	Jazz	Digital Duke	2200	1987	101231	
Dave Holland	Jazz	Jazz	Conferences	2201	1998	101232	
Duke Ellington	Jazz	Jazz	Jazz Masters 4	2202	1961	101233	
Jacob Fred Jazz Odyssey	Jazz	Jazz	Live In Tokyo	2203	1996	101234	
Jay Leonhart	Jazz	Jazz	With His Friends, Live At Fat Tuesday's	2204	1993	101235	
D'rivera, Paquito	Jazz	Jazz	A Taste Of Paquito D'rivera	2205		101236	
Aria And Demetrio Stratos	Jazz	Jazz	Jazz & Tzaz (compilation)	2206		101237	
Various	Jazz	Jazz	Live At Ribs	2207	2011	101238	
Meirelles E Os Copa 5	Jazz	Jazz	O Novo Som	2208	1964	101239	
Big Band Classics	Jazz	Big Band	Big Band Swing	2209	2003	101240	
Sadao Watanabe	Jazz	Jazz	Jazz & Bossa	2210	1986	101241	
Nara Leã£o	Jazz	Jazz	Manhã£ De Liberdade	2211	2023	101242	
Louis Armstrong	Jazz	Jazz	Louis Armstrong And His Orchestra	2212	2002	101243	
Ihs World Orchestra	Jazz	Jazz	Around The World	2213	2002	101244	
Sonny Criss	Jazz	Jazz	Jazz U.S.A.	2214	1956	101245	
Louis Armstrong	Jazz	Jazz	Snake Rag	2215	2006	101246	
Beegie Adair Trio	Jazz	Jazz	Jazz Piano Christmas	2216	1999	101247	
Alexander Road High School Big Band	Jazz	Jazz	Alex Big Band	2217		101248	
Sarah Vaughan	Jazz	Jazz	The Divine	2218	1955	101249	
Loskot	Jazz	Jazz	Amariuch	2219	1998	101250	
Pinja	Jazz	Jazz	Haamumaili	2220	2002	101251	
Amazing Grace	Jazz	Jazz	Bob Snyder	2221	1995	101252	
Various	Jazz	Jazz	Cool Notes Of Summer	2222	1994	101253	
Elis Regina	Jazz	Bossa Nova	Sucessos Inesquecã­veis De Elis Regina - Vol. 5	2223	2002	101254	
Nina Simone	Jazz	Soul	My Baby Just Cares For Me	2224	1997	101255	
Piltch & Davis	Jazz	Jazz	Feast	2225	1996	101256	
The Doc Fingers Trio	Jazz	Blues	A Little Off The Top	2226	98	101257	
Bill Evans	Jazz	Jazz - Post Bop	Portrait In Jazz	2227	1959	101258	
Various	Jazz	Jazz	Jazz Dance	2228		101259	
Pink Martini	Jazz	Jazz	Sympathique	2229	1997	101260	
Trio Grande	Jazz	Jazz	Silent Night	2230		101261	
Kimiko Ito	Jazz	Jazz	Kimiko	2231	2000	101262	
Chieli Minucci	Jazz	Jazz	Jewels	2232	1995	101263	
Jazzfestival Vol. 11	Jazz	Jazz	Latin Groove	2233	2002	101264	
Various (ã€ãœãâ¤â½ã„ã€ã‡ '0'â½ãƒã€ã‡ Ã€ã§ãã®)	Jazz	Jazz	Smooth Jazz (disc 2 - The Night)	2234		101265	
Sir Kippy Marks	Jazz	Jazz	The Arrival	2235	2001	101266	
Inquisiciã³n	Jazz	Metal	Black Leather From Hell	2236	1999	101267	
Smooth Jazz Sampler	Jazz	Jazz	Wjjz 106.1	2237		101268	
Paul Jackson Jr.	Jazz	Jazz+funk	Still Small Voice	2238	2003	101269	
Ricky Peterson	Jazz	Jazz	Souvenir	2239	2018	101270	
Fattburger/best Of Fattburger	Jazz	Jazz	Fattburger/best Of Fattburger	2240		101271	
Hank Roberts	Jazz	Jazz	The Truth & Reconciliation Show	2241		101272	
Fourplay	Jazz	Jazz	Heartfelt	2242	2002	101273	
Bill Frisell	Jazz	Jazz	Bill Frisell With Dave Holland And Elvin Jones	2243	1999	101274	
New Rob Van Bavel Trio	Jazz	Jazz	Piano Grand Slam	2244	2003	101275	
Jamiroquai	Jazz	Funk	Titanium	2245	2002	101276	
Wes Montgomery	Jazz	Jazz	Feat. Tommy Flanagan - Hank Jones - Percy Heath	2246	1995	101277	
Purcell, Ravel, Grieg Et Al.	Jazz	Jazz	Funeral Music	2247		101278	
Various Artists	Jazz	Jazz	Atlantic Jazz	2248		101279	
Varios Artistas	Jazz	Bossanova	Bossa Nova Sin Limite	2249	1991	101280	
Django Reinhardt	Jazz	Jazz	Nuits De Saint-germain-des-pr S	2250	1951	101282	
Waller Teagarden Hodges Norvo	Jazz	Jazz	Jazz-blues-soul 1943-44	2251		101283	
